,pos_cpm,signed_cpm,signed_logcpm,rank_contrast,age_years,chemistry,dataset,total_counts,log10_total,n_genes_det,counts_per_cell
10,100367.95471639243,63556.83434390175,669.7112466684773,0.09011660949608258,-0.13972602739726028,V3,Ramos,82439624.0,7.9161363,15890,9984.210245852004
11,87008.49624331949,46796.74681603442,534.6879802064468,0.0656386621593732,-0.38904109589041097,V3,Ramos,39340450.0,7.5948396,15356,3264.767468879668
1798,111149.62496625484,83143.47449589237,982.1057218003481,0.16266686960559051,1.7835616438356163,V2,U01,4840514.0,6.6848917,15003,889.47335538405
23,91143.30705531193,53160.49188824533,606.3837149151228,0.07828957317413265,-0.31232876712328766,V3,Ramos,43774870.0,7.6412253,15520,4469.103828483921
24,88208.11480900276,47181.44066517222,511.7077342379502,0.0591148468118321,-0.4273972602739726,V3,Ramos,89309400.0,7.9508977,15816,6740.840818174956
26,88722.24986728895,49085.90444280549,579.3134037272362,0.07545019156245003,-0.40821917808219177,V3,Ramos,25207618.0,7.401532,15172,2823.4339157706095
3,98681.91752029976,60714.14477865741,674.3082369698706,0.09187453250529154,-0.29315068493150687,V3,Ramos,81851310.0,7.913026,15892,10204.62685450692
30,89703.9557802031,48501.89654656942,549.5490363320429,0.0677194174954312,-0.3506849315068493,V3,Ramos,65699350.0,7.8175616,15738,6965.580152671756
34,92542.1867891128,53854.37568289292,641.3419100457135,0.08544875628246784,-0.37945205479452054,V3,Ramos,56461988.0,7.7517567,15859,4591.152057245081
4283,79330.96926368496,42869.74731200102,678.5312052412191,0.10443299335637346,-0.2493150684931507,V2,U01,10804940.0,7.0336227,15361,3161.187829139848
4341,99161.75509284818,69112.89462687258,988.5008633170737,0.16777239029234536,12.994520547945205,V2,U01,14156499.0,7.150956,15611,7774.024711696869
4350,99298.69063574201,69044.94893354818,957.6496446230075,0.1636649808952798,0.5315068493150685,V2,U01,13839379.0,7.1411166,15616,7295.402741170269
4369,114495.41449833229,88076.94883992226,1104.4244766655174,0.18508613401129148,2.7205479452054795,V2,U01,14731799.0,7.168256,15467,10097.189170664838
4389,97138.83140687908,62875.66724541331,827.6327104115014,0.13429003799522277,0.21095890410958903,V2,U01,9472623.0,6.9764705,15372,4403.8228730822875
4396,99267.54458692236,65957.5510344997,850.463971106138,0.13928655905086362,0.14520547945205478,V2,U01,13103466.0,7.1173863,15570,5590.215870307167
4426,108801.43100231487,78757.90323155027,958.5041824589256,0.15799570012394093,2.2054794520547945,V2,U01,14724406.0,7.168038,15484,6816.85462962963
4942,73394.38427983064,36223.38108100229,582.344472225574,0.08875829911307331,-0.29041095890410956,V2,U01,1355285.0,6.132031,14490,4357.829581993569
5242,98555.71563255964,64200.44098766682,858.417201145792,0.13643295520724774,14.994520547945205,V2,U01,17766100.0,7.2495923,15616,10644.757339724385
5387,111399.89791727069,84380.05585619596,1120.0638504277665,0.18822351129610904,11.994520547945205,V2,U01,36355424.0,7.5605693,15777,9302.82088024565
5408,105337.4092225013,73923.60063917065,924.8507882960172,0.15132099006711908,5.994520547945205,V2,U01,25030244.0,7.398465,15700,8282.675049636002
5538,92248.5799712807,60450.50035172793,853.0127464226093,0.14079706981411244,18.994520547945207,V2,U01,10142644.0,7.0061517,15432,8049.71746031746
5546,112127.70516364623,85339.91113493087,1099.0792307532352,0.18767156058975631,33.99452054794521,V2,U01,9222105.0,6.9648304,15271,7354.150717703349
5577,105792.21131448496,75459.97998650694,985.2285317511645,0.16363173708805667,20.994520547945207,V2,U01,16710261.0,7.2229834,15598,10936.034685863875
56,73685.9311543384,29709.753987037104,511.6624117494289,0.06459302077616025,-0.3698630136986301,V3,Ramos,5811831.0,6.764313,14876,2806.292129406084
5608,111200.2932074408,83015.85093871548,979.653507957508,0.1664281207126883,3.526027397260274,V2,U01,1441054.0,6.1586804,14258,1457.08190091001
5787,106307.30952631516,76065.85589366769,956.9872866701049,0.16361399940784904,38.99452054794521,V2,U01,7380187.0,6.8680677,15303,6583.574487065121
5879,96101.65588444387,64075.798806084786,859.7203648041137,0.14568754594475353,14.994520547945205,V2,U01,8475083.0,6.9281445,15424,8773.37784679089
5893,95936.77207047975,64398.84425960884,903.1863385218537,0.15041639865771916,18.994520547945207,V2,U01,9908348.0,6.9960017,15359,8088.447346938776
5900,90255.79390537292,56340.97063799818,770.8981741821289,0.1254878696987347,-0.12054794520547946,V2,U01,2850139.0,6.454866,14849,2287.430979133226
5936,101165.72569880533,69315.54973331986,869.281675149759,0.14409608633392568,13.994520547945205,V2,U01,5692463.0,6.7553005,15217,6490.835803876853
5958,107673.62923041264,77965.16478575704,978.4476912881591,0.1660434869207138,21.994520547945207,V2,U01,12831355.0,7.1082726,15599,9198.10394265233
5976,111079.17252002087,82824.38753279962,999.0732368589718,0.16683652790603876,3.9945205479452053,V2,U01,2983955.0,6.4747925,14563,3398.5820045558085
5981,116620.16285684766,90211.78498456246,1124.7186064140087,0.1862393306351171,43.99452054794521,V2,U01,6291083.0,6.7987256,14864,5607.025846702318
6,87060.8023879189,46109.887913737235,559.652304620529,0.06918509204948586,-0.01,V3,Ramos,32789608.0,7.5157366,15654,4995.369896404632
60,102152.36785452359,65732.16801347575,758.8428534356934,0.10659745238012597,-0.1589041095890411,V3,Ramos,113858430.0,8.056366,15930,7931.621873911529
62,90789.9354743131,51215.649588076776,614.5186877188572,0.08047639656545424,-0.31232876712328766,V3,Ramos,86421040.0,7.9366198,15842,5275.6876869543985
63,89491.5670393997,50035.35918037147,568.6813488446112,0.07135628611499367,-0.31232876712328766,V3,Ramos,35891696.0,7.554994,15424,3686.1144089555305
64,85097.26127161211,43212.04364678581,486.74167490217206,0.054431544479146665,-0.31232876712328766,V3,Ramos,75537960.0,7.8781657,15927,4939.058454295802
779,79830.36409925109,43653.13495177388,625.1840603629738,0.09794401746244319,-0.049315068493150684,V2,U01,890936.0,5.9498467,14430,6102.301369863014
9,79858.68127415933,37837.88431390935,540.0320283261206,0.06659581883812227,-0.4465753424657534,V3,Ramos,69987340.0,7.84502,15847,5059.813765182186
A14-103,85297.6018131459,48222.52545529744,689.1664220789095,0.10535126905778158,-0.0684931506849315,V2,U01,12444288.0,7.0949707,15507,5572.901030004478
A15-44,88386.31201675859,52628.15629216275,723.5380514080376,0.11330793475641654,-0.021917808219178082,V2,U01,9930363.0,6.9969654,15559,3369.6515100101797
GW16-2-2-20,68473.54402822863,28325.041992361515,505.7930274445773,0.06739920982165348,-0.4657534246575342,V2,U01,7346684.0,6.8660917,14982,2532.4660461909684
GW18-6-14-19,71948.62342609497,34016.05793323392,577.2298560725391,0.08378623569914678,-0.4273972602739726,V2,U01,9933665.0,6.99711,15328,1008.903615681495
GW20-11-28-18,88621.42052930022,48112.62809957907,605.4672332709569,0.08243918348106027,-0.37945205479452054,V2,U01,30882176.0,7.489708,15588,2356.6984126984125
GW20-12-7-18,86733.80910992518,47961.1931247387,605.3908584793372,0.08467443481232906,-0.38904109589041097,V2,U01,7236636.0,6.859537,14825,1866.0742650850955
GW25-11-17-17,74772.58708858072,35663.37808116854,534.3788608570314,0.07254350851829916,-0.29315068493150687,V2,U01,4245589.0,6.6279383,14859,1048.8115118577075
GW27-2-7-18,74457.00134079764,32999.06025057619,558.6894060535178,0.0793830732246974,-0.22602739726027396,V2,U01,1858706.0,6.269211,14497,1469.3328063241106
GW30-11-6-18,79819.29225305672,42137.43413882338,632.5906234148315,0.09466142578557912,-0.19726027397260273,V2,U01,7423820.0,6.870628,15090,1928.2649350649351
RL1612,102393.90297684332,67295.74797106198,828.038174728285,0.12698807731624107,0.08767123287671233,V2,Herring,19170358.0,7.2826304,15382,3281.4717562478604
RL1613,109998.99308137533,78866.94704023167,963.2967551439243,0.15270778031287247,2.0712328767123287,V2,Herring,5895098.0,6.770491,14469,2669.88134057971
RL1614,119575.20805807279,90244.49233103979,1044.4006678523865,0.16462130542306463,7.994520547945205,V2,Herring,11648087.0,7.066255,14925,3764.734001292825
RL1777,92782.58257866868,53555.42099199704,701.2722345160126,0.10387425608841017,0.0,V3,Herring,49026572.0,7.6904316,15966,7441.799028536733
RL1786,117737.55372846616,86891.39525317968,971.0632037448172,0.15231671955289627,2.0712328767123287,V3,Herring,18391284.0,7.264612,15329,16376.922528940338
RL2100,104539.7541470419,70866.72923302016,851.875736519895,0.1279121535138692,0.23013698630136986,V3,Herring,41093310.0,7.6137714,15658,6820.466721991701
RL2102,114447.23947806007,83243.48281012863,970.7113360511248,0.15353965487048138,15.994520547945205,V3,Herring,22813924.0,7.3582,15528,5735.023629964807
RL2103,81757.19288756828,43176.42588733942,654.7643729451165,0.09469132392591362,0.0,V3,Herring,46375064.0,7.6662846,15914,4615.352707006369
RL2104,101403.70283719321,68711.64409500535,873.4450174365329,0.14183078987809006,0.3178082191780822,V3,Herring,37156416.0,7.570034,16023,12973.608938547486
RL2105,108779.52280987502,76322.47707926836,929.1817206673727,0.14758710206629655,1.7123287671232876,V3,Herring,39648320.0,7.598225,15912,10826.957946477334
RL2106,107657.38861323909,75668.52021881455,949.0841133256814,0.15347836294888328,6.494520547945205,V3,Herring,44480300.0,7.648168,15996,10248.917050691245
RL2107,91502.46629943587,52472.158274774025,690.8572925993769,0.09878679007891733,0.0,V3,Herring,47108850.0,7.673103,15936,5302.661864025214
RL2108,97073.65705515693,60692.432143015605,707.4117209091332,0.10058627553778343,0.4849315068493151,V3,Herring,26516192.0,7.4235115,15422,4769.957186544342
RL2109,108054.42278855175,74326.14503265821,875.9059294293392,0.13627694910432975,3.9945205479452053,V3,Herring,31641772.0,7.500261,15824,12952.014735980352
RL2110,101002.57659391657,64212.21698520132,813.2971946607745,0.12408476700489757,9.994520547945205,V3,Herring,6138555.0,6.7880664,15013,21691.00706713781
RL2121,102140.57964356706,64556.44297757642,777.7013013125907,0.11381003379175458,0.0,V3,Herring,24869366.0,7.3956647,15391,4109.280568407138
RL2122,112477.45449300014,80169.95273169971,978.8438970236688,0.15388571818195773,0.8191780821917808,V3,Herring,32279190.0,7.508923,15625,6660.996698307883
RL2123,102969.64544666301,63276.759926902785,776.3280406245838,0.11198004213569746,19.994520547945207,V3,Herring,9588217.0,6.981738,14940,9184.115900383142
RL2124,120729.18961958603,89511.69771758809,995.3186078263806,0.1496024382344473,39.99452054794521,V3,Herring,29984904.0,7.476903,15428,7112.168880455408
RL2125,104871.8367782151,70630.09019111154,851.7658502861009,0.12735905256968705,1.1506849315068493,V3,Herring,25264166.0,7.4025054,15364,9950.439543127215
RL2126,103341.00723598353,68363.42021359192,863.5733786596232,0.13487362535440706,9.994520547945205,V3,Herring,14303679.0,7.155448,15405,14536.259146341463
RL2127,104181.87473294488,67905.8990480724,842.2125599849383,0.12693968299686642,11.994520547945205,V3,Herring,20820880.0,7.318499,15507,16190.419906687403
RL2128,102301.45127078852,65437.60399033433,806.9095504323466,0.12112657964060936,19.994520547945207,V3,Herring,19405288.0,7.28792,15592,14590.442105263159
RL2129,108056.76864118145,77683.58921141227,871.5707492299833,0.13064608443388537,2.9945205479452053,V3,Herring,3003789.0,6.4776697,13723,4635.476851851852
RL2130,102483.11965494529,63300.49590640819,713.5692345639999,0.09986725593320245,13.994520547945205,V3,Herring,8164093.0,6.911908,14928,18942.21113689095
RL2131,112981.64406486686,81425.47337818296,955.0083246432519,0.1510487814653073,16.994520547945207,V3,Herring,38854504.0,7.589442,15855,17268.668444444444
RL2132,111427.86364140156,79289.77113809201,942.3759300057909,0.14906666922843415,24.994520547945207,V3,Herring,32351732.0,7.5098977,15770,9785.762855414398
